iter	Logloss
0	0.6463969505
1	0.6000433589
2	0.5571674093
3	0.5173947723
4	0.4821499273
5	0.4504182091
6	0.4232735746
7	0.3980160271
8	0.3740041793
9	0.3527353705
10	0.3332304354
11	0.3159573589
12	0.3005030135
13	0.2878768557
14	0.2750159968
15	0.2620074176
16	0.250706377
17	0.2414618445
18	0.2316033033
19	0.2233936848
20	0.2158019209
21	0.2081330129
22	0.2019744856
23	0.1951632124
24	0.1896628141
25	0.1842106386
26	0.1800376224
27	0.1751863263
28	0.1707558808
29	0.166819544
30	0.162924694
31	0.16060211
32	0.15743376
33	0.1543713202
34	0.1520707143
35	0.1493986251
36	0.1467945189
37	0.1444574167
38	0.1420751977
39	0.1408175406
40	0.1382577743
41	0.1359699453
42	0.1338944943
43	0.1322260959
44	0.1304682432
45	0.1289363959
46	0.1273368279
47	0.1258583779
48	0.1244587759
49	0.122916952
50	0.1218051305
51	0.1204294558
52	0.1193420354
53	0.1181735062
54	0.1173161304
55	0.1162363321
56	0.1153009405
57	0.1141991906
58	0.1131510573
59	0.1122081591
60	0.1113294463
61	0.1103150705
62	0.1095546022
63	0.1089046402
64	0.1082157566
65	0.1076475755
66	0.1071114762
67	0.1064142194
68	0.1055663246
69	0.1049025022
70	0.1042176421
71	0.1035120119
72	0.1029144003
73	0.1025723873
74	0.1019037133
75	0.1012158235
76	0.1007632526
77	0.1001779062
78	0.0997514022
79	0.09927548447
80	0.09882173554
81	0.09823771583
82	0.09768859803
83	0.09725588684
84	0.09677611439
85	0.09623506137
86	0.0958239247
87	0.09536684905
88	0.09508024433
89	0.09464367171
90	0.09425839355
91	0.09377594989
92	0.09333437442
93	0.09312759698
94	0.09291288612
95	0.09240723062
96	0.0920545945
97	0.09153545349
98	0.09110245542
99	0.09090162587
100	0.09052275272
101	0.0901433272
102	0.089694425
103	0.08940587346
104	0.0891662644
105	0.08886844508
106	0.08859029169
107	0.08830039094
108	0.08809315708
109	0.08779105078
110	0.08755073939
111	0.08727552265
112	0.08708775414
113	0.08690595565
114	0.08656867497
115	0.0863895327
116	0.086036311
117	0.08579079015
118	0.08553349848
119	0.08540432838
120	0.08524649956
121	0.08497996017
122	0.08475328478
123	0.08451640774
124	0.08424962872
125	0.08395873302
126	0.08367200069
127	0.08337623279
128	0.08320914543
129	0.0830498224
130	0.08285577253
131	0.08262788593
132	0.08238994522
133	0.08221303232
134	0.08191032752
135	0.08169527525
136	0.08153591669
137	0.08134184902
138	0.08123595183
139	0.08098956179
140	0.08084111903
141	0.08065902244
142	0.08054662004
143	0.08027895374
144	0.08011094177
145	0.07990911237
146	0.07973009745
147	0.07948146728
148	0.07930770076
149	0.07914671113
150	0.07902254432
151	0.07869559736
152	0.07854163192
153	0.07836784033
154	0.07823401234
155	0.0780914975
156	0.07790993832
157	0.07778688978
158	0.07761204934
159	0.07745096409
160	0.07734316917
161	0.07718871779
162	0.07696494989
163	0.0768539081
164	0.07675041176
165	0.07658384903
166	0.07638520739
167	0.07625283199
168	0.07614238281
169	0.07603430949
170	0.07595750847
171	0.07580163325
172	0.07567816937
173	0.0755423215
174	0.07539432582
175	0.07515444181
176	0.0749080398
177	0.0747714692
178	0.07449040965
179	0.07433022892
180	0.07419776411
181	0.07410123857
182	0.073961247
183	0.0738649875
184	0.07369454735
185	0.07346326368
186	0.07333485122
187	0.07322445528
188	0.07313517128
189	0.07298229303
190	0.0728217256
191	0.07270042366
192	0.07260438525
193	0.07251952704
194	0.07231136367
195	0.07218573613
196	0.07208215755
197	0.07192105637
198	0.07178150001
199	0.07169724294
200	0.07162446385
201	0.07152452972
202	0.07146367209
203	0.07126486869
204	0.07109093914
205	0.07102140188
206	0.07096197728
207	0.07091605405
208	0.07073731514
209	0.07067781354
210	0.0705242638
211	0.07042870959
212	0.07031936523
213	0.07025249658
214	0.07012881065
215	0.06998215192
216	0.06989454483
217	0.06977297592
218	0.06968294323
219	0.06956984096
220	0.06939501235
221	0.06924653843
222	0.06908986538
223	0.06897117085
224	0.06892729835
225	0.06886096203
226	0.06875203498
227	0.0686612224
228	0.06854707816
229	0.06837668518
230	0.06828058001
231	0.0681625336
232	0.06806412039
233	0.06798607873
234	0.06792582945
235	0.06779847915
236	0.06769729349
237	0.06749155436
238	0.06747337514
239	0.06732640158
240	0.06725525471
241	0.0671778143
242	0.06694714866
243	0.06687142781
244	0.06679480329
245	0.06672235724
246	0.06654593622
247	0.06642947714
248	0.06634196762
249	0.06632893307
250	0.06621860184
251	0.06611268194
252	0.06598782721
253	0.06589482917
254	0.06585979874
255	0.06581020051
256	0.06579858968
257	0.06575110221
258	0.06558007891
259	0.06551166617
260	0.06546739824
261	0.0653660628
262	0.06529021329
263	0.06524613841
264	0.06513737905
265	0.06504070988
266	0.06493729508
267	0.06483704606
268	0.06476989726
269	0.06471160221
270	0.06463765406
271	0.06453426562
272	0.06444272757
273	0.06431331734
274	0.0641748253
275	0.06409227305
276	0.06401528396
277	0.0638620948
278	0.06377230577
279	0.06367784301
280	0.06358586557
281	0.06343798696
282	0.06332949053
283	0.06327409792
284	0.06322980473
285	0.06315991511
286	0.06307386074
287	0.06299978178
288	0.06283817713
289	0.06273282035
290	0.06267133719
291	0.06255735918
292	0.06247616198
293	0.06242657928
294	0.06236640864
295	0.06228913473
296	0.06224064211
297	0.06211536183
298	0.06186004997
299	0.06178733574
300	0.06172749712
301	0.06163835607
302	0.06149381384
303	0.06140353702
304	0.06131592202
305	0.06120989285
